,cities,lat,long,d1,d2,d3,sharp2,heat2,sharp3,heat3,sharp4,heat4,sharp5,heat5,sharp6,heat6,sharp7,heat7,sharp8,heat8,sharp9,heat9,sharp10,heat10
217,云安,23.071,112.003223,0.297372018,-0.116077002,0.186305637,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
218,雷州,20.914452,110.096515,0.283760344,-0.232327715,-0.151886996,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 6,Cluster 6_a,Cluster 5,Cluster 5_a
219,廉江,21.60962,110.286237,0.288925336,-0.081439109,0.197886815,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
220,湛江闽_湖光,21.147602,110.294652,0.288692336,-0.232692161,-0.14737525,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 6,Cluster 6_a,Cluster 5,Cluster 5_a
221,湛江粤_坡头,21.24477,110.455508,0.275844971,-0.121088973,0.157916422,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
222,遂溪闽_遂城,21.377987,110.256047,0.285075118,-0.24589698,-0.11445787,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 6,Cluster 6_a,Cluster 5,Cluster 5_a
223,遂溪粤_北坡,21.221199,109.891149,0.300626014,-0.125286676,0.163934983,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
224,吴川,21.441835,110.778244,0.272585123,-0.136553931,0.180670856,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
225,徐闻,20.326455,110.174996,0.273698487,-0.227412586,-0.128445424,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 6,Cluster 6_a,Cluster 5,Cluster 5_a
226,德庆,23.143772,111.785593,0.275793426,-0.085996204,0.209469358,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
227,封开,23.424501,111.511972,0.293747139,-0.086486214,0.17576678,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
228,高要,23.02585,112.458421,0.271851605,-0.120380547,0.195296087,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
229,广宁,23.634941,112.441129,0.311040945,-0.106853219,0.168794324,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
230,怀集,23.911895,112.18455,0.313440851,-0.114213392,0.158211468,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_b,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
231,四会,23.327436,112.734033,0.297488181,-0.11960482,0.17218887,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
232,中山,22.515965,113.392604,0.2891656,-0.117309878,0.183543338,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
233,斗门,22.209069,113.29672,0.278563531,-0.109833668,0.186623837,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
234,平果,23.320315,107.601979,0.21937695,-0.090429203,0.152257396,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
235,田东,23.597253,107.126086,0.21910881,-0.101893569,0.15194079,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
236,田阳,23.73567,106.915663,0.195926111,-0.095541819,0.145077387,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
237,百色,23.902161,106.618375,0.19282183,-0.123501491,0.140745816,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
238,北海,21.481146,109.120099,0.266519633,-0.097580421,0.194762444,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
239,合浦,21.6609,109.207251,0.277362813,-0.076155113,0.192421642,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 4,Z
240,扶绥,22.634976,107.904107,0.201608959,-0.115336098,0.153950612,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
241,崇左,22.405658,107.35324,0.232952857,-0.087646275,0.142079042,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
242,龙州,22.342546,106.854469,0.22230353,-0.094311227,0.13118866,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
243,宁明,22.140171,107.076683,0.243712534,-0.091170676,0.150204854,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
244,防城港,21.687129,108.354713,0.296976597,-0.076379018,0.212328884,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
245,贵港,23.113063,109.597629,0.223395988,-0.050409195,0.20706488,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Z,Cluster 7,Cluster 7_a,Cluster 4,Cluster 4_b
246,桂平,23.39411,110.079015,0.273637475,-0.089414635,0.218831397,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
247,平南,23.53919,110.392143,0.262486391,-0.087517582,0.186069722,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
248,桂林,25.273594,110.289994,0.008058147,0.026382379,0.086921266,Cluster 1,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Z,Cluster 4,Cluster 4_a,Cluster 6,Z,Cluster 3,Cluster 3_a,Cluster 4,Z,Cluster 10,Z
249,恭城,24.831364,110.828352,0.068148713,0.014413924,0.047920465,Cluster 1,Cluster 1_a,Cluster 2,Z,Cluster 3,Z,Cluster 1,Z,Cluster 3,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 2,Cluster 2_a,Cluster 3,Z
250,灌阳,25.48933,111.160834,0.015650291,0.007655385,0.042699918,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Z,Cluster 8,Z,Cluster 8,Z,Cluster 9,Z
251,荔浦,24.488875,110.395164,0.204978238,-0.0250883,0.190888049,Cluster 1,Cluster 1_a,Cluster 2,Z,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Z,Cluster 8,Z,Cluster 7,Z,Cluster 4,Cluster 4_a
252,临桂,25.238688,110.212403,0.123311353,-0.007136721,0.047339657,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_b,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
253,灵川,25.409693,110.325504,0.076406385,0.021753018,0.099102125,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
254,龙胜,25.798078,110.011467,0.030968167,-0.007754867,0.109221887,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Z,Cluster 8,Z,Cluster 8,Z,Cluster 9,Z
255,平乐,24.633247,110.643203,0.143555018,-0.019887481,0.113472755,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 3,Cluster 3_b,Cluster 3,Z,Cluster 5,Z,Cluster 4,Z,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 4,Cluster 4_a
256,全州,25.928607,111.073023,-0.007393222,0.05883453,-0.009406917,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 6,Z,Cluster 3,Z,Cluster 4,Z,Cluster 10,Z
257,兴安,25.611684,110.671452,0.061252815,0.03796878,0.036847187,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 4,Z,Cluster 8,Z,Cluster 8,Z,Cluster 9,Cluster 9_a
258,阳朔,24.778446,110.496639,0.128525547,-0.00830869,0.071806955,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Z,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
259,永福,24.980003,109.983164,0.072175877,-0.00566401,0.092773426,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Z,Cluster 8,Z,Cluster 8,Z,Cluster 9,Cluster 9_a
260,资源,26.042402,110.652571,0.060768317,0.081786865,0.002094199,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 4,Z,Cluster 1,Z,Cluster 3,Z,Cluster 4,Z,Cluster 8,Z,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a
261,巴马,24.14108,107.259644,0.226898259,-0.078145463,0.138181035,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
262,都安,23.93508,108.111266,0.206251306,-0.07389399,0.13346066,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
263,河池,24.692917,108.085399,-0.060686722,-0.020869274,0.115454684,Cluster 2,Cluster 2_b,Cluster 1,Z,Cluster 4,Z,Cluster 2,Cluster 2_a,Cluster 6,Z,Cluster 6,Z,Cluster 4,Z,Cluster 5,Z,Cluster 10,Z
264,罗城,24.777396,108.904647,0.187063745,-0.038007987,0.109582579,Cluster 1,Cluster 1_a,Cluster 2,Z,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_b,Cluster 5,Cluster 5_a,Cluster 3,Z,Cluster 5,Z,Cluster 7,Z,Cluster 4,Z
265,宜州,24.48513,108.636552,0.180486312,-0.028407012,0.110733423,Cluster 1,Cluster 1_a,Cluster 2,Z,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_b,Cluster 5,Cluster 5_a,Cluster 3,Z,Cluster 5,Z,Cluster 7,Z,Cluster 4,Z
266,贺州,24.403474,111.566552,0.208931402,-0.082054315,0.129287446,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
267,富川,24.814326,111.277512,0.12246494,-0.043696761,0.105943616,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 3,Cluster 3_b,Cluster 3,Z,Cluster 5,Z,Cluster 4,Z,Cluster 8,Z,Cluster 8,Z,Cluster 4,Cluster 4_a
268,昭平,24.169486,110.811372,0.252701959,-0.058893366,0.168106391,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
269,钟山,24.526394,111.302761,0.165203746,-0.055746546,0.129206019,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_b,Cluster 5,Cluster 5_a,Cluster 3,Z,Cluster 5,Z,Cluster 7,Z,Cluster 4,Z
270,象州,23.973737,109.705249,0.245809237,-0.051396779,0.187565941,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Z,Cluster 7,Cluster 7_a,Cluster 4,Cluster 4_b
271,来宾,23.752108,109.22238,0.220126179,-0.092090775,0.147325135,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
272,柳州,24.325439,109.41552,-0.060877771,-0.036515096,0.116180333,Cluster 2,Cluster 2_b,Cluster 1,Z,Cluster 4,Z,Cluster 2,Cluster 2_a,Cluster 6,Z,Cluster 6,Z,Cluster 4,Z,Cluster 5,Z,Cluster 10,Z
273,柳城,24.650583,109.244675,0.200141747,-0.036055952,0.101517314,Cluster 1,Cluster 1_a,Cluster 2,Z,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_b,Cluster 5,Cluster 5_a,Cluster 3,Z,Cluster 5,Z,Cluster 7,Z,Cluster 4,Z
274,柳江,24.254641,109.326707,0.200323693,-0.037485155,0.204488919,Cluster 1,Cluster 1_a,Cluster 2,Z,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_b,Cluster 5,Cluster 5_a,Cluster 3,Z,Cluster 8,Z,Cluster 7,Z,Cluster 4,Cluster 4_a
275,鹿寨,24.473086,109.751789,-0.062419411,-0.018762304,0.11775753,Cluster 2,Cluster 2_b,Cluster 1,Z,Cluster 4,Z,Cluster 2,Cluster 2_a,Cluster 6,Z,Cluster 1,Z,Cluster 4,Z,Cluster 5,Z,Cluster 8,Z
276,融水,25.066292,109.256354,0.156362929,-0.039522956,0.102122256,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 3,Cluster 3_b,Cluster 3,Z,Cluster 5,Z,Cluster 4,Z,Cluster 8,Z,Cluster 8,Z,Cluster 4,Cluster 4_a
277,三江,25.783133,109.607867,0.150857456,-0.027728023,0.090222506,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 3,Z,Cluster 3,Z,Cluster 5,Z,Cluster 4,Z,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 4,Z
278,宾阳,23.217695,108.810307,0.211645116,-0.069203135,0.132768703,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
279,横县,22.679997,109.261467,0.246725852,-0.086265916,0.169877697,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
280,南宁粤_江南区,22.781212,108.273301,0.270078944,-0.092837405,0.220974778,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
281,隆安,23.165889,107.696095,0.213438551,-0.102644183,0.149643394,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
282,马山,23.708454,108.178277,0.227917395,-0.086214359,0.14357961,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
283,南宁平_青秀区,22.786601,108.496943,0.203229325,-0.078506791,0.165154159,Cluster 1,Cluster 1_a,Cluster 2,Z,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
284,上林,22.800015,108.315167,0.211396974,-0.084772063,0.137451025,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
285,武鸣,23.158665,108.274609,0.221986911,-0.079851587,0.130011323,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
286,邕宁,22.75839,108.48738,0.210786735,-0.079760999,0.130096168,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
287,灵山,22.418722,109.291059,0.214308441,-0.088663206,0.180694926,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Z
288,钦州,21.979696,108.654293,0.222475255,-0.102488322,0.175721698,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_b
289,苍梧,23.842336,111.544889,0.283617545,-0.076121777,0.198249731,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
290,岑溪,22.918275,110.994878,0.29237497,-0.075295326,0.182605708,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
291,蒙山,24.193569,110.524932,0.240822275,-0.068986294,0.155623702,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_b
292,藤县,23.374974,110.914962,0.256452305,-0.074757812,0.188480266,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
293,梧州,23.476907,111.279155,0.28519006,-0.088674603,0.207235859,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
294,北流,22.708369,110.354248,0.279907327,-0.083741559,0.202696175,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
295,博白,22.273056,109.976258,0.250483051,-0.075936566,0.157474483,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_b
296,陆川,22.321095,110.264123,0.270460431,-0.062600511,0.184570144,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 4,Z
297,容县,22.85784,110.557858,0.296799904,-0.086217218,0.184296032,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_b,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
298,兴业,22.736372,109.875173,0.251929174,-0.072438314,0.136827519,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_b
