,cities,lat,long,d1,d2,d3,sharp2,heat2,sharp3,heat3,sharp4,heat4,sharp5,heat5,sharp6,heat6,sharp7,heat7,sharp8,heat8,sharp9,heat9,sharp10,heat10
560,靖江吴_石桥,32.086268,120.275889,-0.014269272,0.159909798,-0.134810807,Cluster 1,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Z,Cluster 3,Z,Cluster 2,Z,Cluster 1,Z,Cluster 3,Z,Cluster 7,Cluster 7_a
561,泰兴,32.171904,120.051991,-0.08370828,0.062230236,-0.069123214,Cluster 2,Cluster 2_b,Cluster 3,Z,Cluster 4,Cluster 4_b,Cluster 2,Z,Cluster 6,Z,Cluster 6,Z,Cluster 3,Z,Cluster 4,Cluster 4_a,Cluster 10,Cluster 10_a
562,江阴,31.919188,120.284308,0.044848098,0.207719162,-0.128705072,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 7,Cluster 7_a
563,无锡,31.490985,120.312355,0.07859287,0.233778707,-0.146714636,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 7,Cluster 7_a
564,宜兴,31.340433,119.823471,0.049635055,0.228777629,-0.12866957,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 7,Cluster 7_a
565,丰县,34.693969,116.595312,-0.264032042,-0.07365864,-0.043854336,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_a,Cluster 2,Cluster 2_b,Cluster 1,Cluster 1_b,Cluster 6,Z
566,邳州,34.335189,118.012436,-0.268886722,-0.080884508,-0.052542193,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_a,Cluster 2,Z,Cluster 1,Z,Cluster 6,Z
567,东台,32.867111,120.320674,-0.10438368,0.090649663,-0.037280225,Cluster 2,Cluster 2_b,Cluster 3,Z,Cluster 4,Cluster 4_b,Cluster 2,Cluster 2_b,Cluster 6,Z,Cluster 6,Z,Cluster 3,Z,Cluster 4,Z,Cluster 10,Cluster 10_a
568,射阳,33.774966,120.258046,-0.165798004,0.021894184,-0.040295781,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Z,Cluster 6,Cluster 6_b,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 5,Z,Cluster 8,Cluster 8_a
569,宝应,33.241419,119.358398,-0.174734239,0.028864158,-0.027003361,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_b,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_b,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
570,江都,32.434588,119.57006,-0.15632963,0.028077298,-0.051386938,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_b,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 5,Z,Cluster 8,Z
571,丹徒,32.131888,119.433964,-0.167073619,0.057326628,-0.053147622,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_b,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 5,Z,Cluster 8,Z
